task_id,tool,task_type,clarity,accuracy,tone,overall_score
task_0001,Copilot,code_generation,3,4,3,3.33
task_0002,ChatGPT,explanation,5,5,3,4.33
task_0003,Copilot,explanation,3,5,5,4.33
task_0004,Copilot,explanation,3,4,4,3.67
task_0005,Copilot,explanation,5,4,5,4.67
task_0006,Copilot,summarization,5,5,4,4.67
task_0007,ChatGPT,explanation,5,4,5,4.67
task_0008,Copilot,summarization,3,3,5,3.67
task_0009,Copilot,explanation,5,4,4,4.33
task_0010,Copilot,summarization,3,4,4,3.67
task_0011,ChatGPT,code_generation,4,3,5,4.0
task_0012,ChatGPT,summarization,4,3,5,4.0
task_0013,ChatGPT,explanation,5,3,5,4.33
task_0014,ChatGPT,explanation,4,3,5,4.0
task_0015,Copilot,summarization,4,3,5,4.0
task_0016,ChatGPT,code_generation,3,5,4,4.0
task_0017,ChatGPT,code_generation,5,4,3,4.0
task_0018,Copilot,code_generation,5,4,5,4.67
task_0019,ChatGPT,explanation,3,3,4,3.33
task_0020,Copilot,summarization,3,4,4,3.67
task_0021,Copilot,explanation,5,5,3,4.33
task_0022,ChatGPT,code_generation,3,5,4,4.0
task_0023,ChatGPT,code_generation,4,5,4,4.33
task_0024,ChatGPT,explanation,4,5,5,4.67
task_0025,ChatGPT,summarization,5,4,3,4.0
task_0026,Copilot,summarization,4,5,5,4.67
task_0027,ChatGPT,explanation,3,4,4,3.67
task_0028,ChatGPT,explanation,3,3,4,3.33
task_0029,ChatGPT,summarization,4,5,3,4.0
task_0030,Copilot,summarization,3,5,3,3.67
task_0031,Copilot,code_generation,5,5,3,4.33
task_0032,ChatGPT,summarization,3,3,4,3.33
task_0033,ChatGPT,summarization,4,3,4,3.67
task_0034,Copilot,explanation,4,4,3,3.67
task_0035,ChatGPT,explanation,5,4,3,4.0
task_0036,Copilot,summarization,4,3,4,3.67
task_0037,Copilot,summarization,5,4,4,4.33
task_0038,ChatGPT,explanation,5,3,4,4.0
task_0039,Copilot,summarization,3,3,5,3.67
task_0040,ChatGPT,code_generation,3,3,3,3.0
task_0041,ChatGPT,explanation,5,3,3,3.67
task_0042,ChatGPT,explanation,3,4,3,3.33
task_0043,ChatGPT,summarization,3,3,4,3.33
task_0044,ChatGPT,code_generation,5,5,3,4.33
task_0045,Copilot,explanation,3,4,4,3.67
task_0046,Copilot,summarization,3,4,5,4.0
task_0047,ChatGPT,explanation,5,5,5,5.0
task_0048,Copilot,summarization,5,3,3,3.67
